yyyy,PerNo,最新離職預測,sex,工作分類,職等,廠區代碼,管理層級,工作資歷1,工作資歷2,工作資歷3,工作資歷4,工作資歷5,專案時數,專案總數,當前專案角色,特殊專案佔比,工作地點,訓練時數A,訓練時數B,訓練時數C,生產總額,榮譽數,是否升遷,升遷速度,近三月請假數A,近一年請假數A,近三月請假數B,近一年請假數B,出差數A,出差數B,出差集中度,年度績效等級A,年度績效等級B,年度績效等級C,年齡層級,婚姻狀況,年資層級A,年資層級B,年資層級C,任職前工作平均年數,最高學歷,畢業學校類別,畢業科系類別,眷屬量,通勤成本,歸屬部門
2018,31,0,1.0,1.0,3.0,20.0,4.0,0.0,0.0,0.0,0.0,1.0,22.0,2.0,5.0,0.0,6.0,0.0,0.0,1.0,10.0,1.0,1.0,1.0,6.0,9.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,5.0,4.0,1.0,2.0,2.0,0.0,0.0,2.0,0.0,5.0,2.0,8.0,20054.0
2018,34,0,1.0,1.0,7.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,24.0,3.0,2.0,1.0,4.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,6.0,0.0,0.0,2.0,0.0,3.0,5.0,7.0,2.0,3.0,2.0,1.0,1.0,0.0,1.0,2.0,0.0,3.0,0.0,7.0,11051.0
2018,35,0,1.0,1.0,2.0,8.0,3.0,0.0,0.0,0.0,0.0,1.0,23.0,4.0,1.0,0.0,6.0,1.0,1.0,1.0,4.0,1.0,0.0,1.0,2.0,7.0,0.0,0.0,4.0,1.0,4.0,4.0,1.0,5.0,11.0,1.0,6.0,6.0,0.0,0.0,0.0,0.0,3.0,2.0,7.0,8126.0
2018,40,0,1.0,1.0,3.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,23.0,3.0,5.0,4.0,5.0,2.0,1.0,1.0,6.0,1.0,1.0,1.0,2.0,8.0,0.0,0.0,2.0,1.0,1.0,6.0,1.0,5.0,7.0,1.0,3.0,2.0,1.0,1.0,0.0,4.0,8.0,2.0,8.0,8145.0
2018,41,0,1.0,1.0,3.0,13.0,4.0,0.0,0.0,0.0,0.0,0.0,24.0,2.0,2.0,0.0,6.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,6.0,0.0,0.0,1.0,1.0,0.0,7.0,10.0,5.0,9.0,1.0,4.0,1.0,6.0,1.0,0.0,4.0,6.0,0.0,8.0,13151.0
2018,43,1,1.0,1.0,7.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,3.0,5.0,1.0,5.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,7.0,0.0,0.0,1.0,1.0,1.0,5.0,7.0,5.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0,6.0,0.0,12.0,16070.0
2018,45,0,1.0,1.0,4.0,14.0,1.0,0.0,0.0,0.0,0.0,1.0,23.0,1.0,1.0,0.0,6.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,1.0,5.0,0.0,0.0,5.0,0.0,14.0,1.0,5.0,4.0,6.0,2.0,4.0,4.0,0.0,0.0,2.0,4.0,7.0,0.0,8.0,14077.0
2018,51,1,1.0,1.0,4.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,1.0,5.0,0.0,6.0,0.0,0.0,1.0,5.0,2.0,0.0,1.0,2.0,7.0,0.0,0.0,1.0,0.0,0.0,10.0,8.0,3.0,5.0,1.0,2.0,1.0,2.0,1.0,2.0,0.0,6.0,1.0,8.0,19186.0
2018,55,0,1.0,1.0,3.0,16.0,3.0,0.0,0.0,0.0,0.0,0.0,15.0,2.0,5.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,3.0,6.0,0.0,0.0,1.0,0.0,1.0,4.0,1.0,4.0,12.0,1.0,6.0,6.0,0.0,0.0,0.0,3.0,1.0,1.0,9.0,16121.0
2018,56,0,0.0,2.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,1.0,3.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,4.0,6.0,0.0,0.0,1.0,0.0,2.0,10.0,2.0,5.0,10.0,1.0,6.0,5.0,2.0,1.0,3.0,3.0,9.0,0.0,8.0,2180.0
2018,57,0,1.0,1.0,2.0,16.0,4.0,0.0,0.0,0.0,0.0,0.0,23.0,2.0,1.0,1.0,6.0,0.0,2.0,1.0,11.0,2.0,0.0,5.0,3.0,6.0,0.0,0.0,1.0,1.0,0.0,4.0,2.0,5.0,12.0,1.0,5.0,3.0,4.0,1.0,0.0,4.0,1.0,2.0,8.0,16001.0
2018,59,0,1.0,1.0,4.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,23.0,2.0,5.0,2.0,1.0,0.0,2.0,1.0,6.0,2.0,0.0,2.0,3.0,8.0,0.0,0.0,3.0,1.0,5.0,10.0,1.0,4.0,6.0,1.0,3.0,3.0,0.0,0.0,2.0,0.0,3.0,3.0,11.0,11182.0
2018,62,0,1.0,1.0,4.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,2.0,1.0,1.0,6.0,0.0,0.0,1.0,5.0,0.0,0.0,3.0,3.0,6.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,5.0,8.0,2.0,3.0,2.0,2.0,1.0,0.0,0.0,8.0,1.0,8.0,8157.0
2018,65,0,1.0,1.0,3.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,23.0,5.0,5.0,5.0,5.0,1.0,0.0,2.0,4.0,0.0,0.0,2.0,4.0,7.0,0.0,0.0,2.0,0.0,1.0,6.0,4.0,5.0,8.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,8.0,2.0,8.0,8194.0
2018,68,0,1.0,1.0,4.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,3.0,5.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,5.0,9.0,0.0,0.0,2.0,0.0,2.0,1.0,9.0,5.0,9.0,1.0,4.0,2.0,4.0,1.0,2.0,3.0,9.0,2.0,9.0,12060.0
2018,69,0,1.0,1.0,3.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,1.0,5.0,0.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,4.0,6.0,0.0,0.0,1.0,0.0,4.0,4.0,6.0,2.0,13.0,1.0,7.0,7.0,0.0,0.0,2.0,3.0,8.0,1.0,8.0,14053.0
2018,71,0,1.0,1.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,2.0,1.0,1.0,6.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,3.0,7.0,0.0,0.0,1.0,0.0,0.0,10.0,5.0,2.0,5.0,1.0,2.0,2.0,1.0,0.0,2.0,3.0,3.0,2.0,8.0,4010.0
2018,72,0,1.0,1.0,4.0,14.0,1.0,0.0,0.0,0.0,0.0,1.0,23.0,2.0,5.0,0.0,6.0,0.0,0.0,1.0,2.0,0.0,0.0,4.0,2.0,6.0,0.0,0.0,1.0,0.0,1.0,1.0,7.0,5.0,6.0,1.0,3.0,3.0,0.0,0.0,0.0,4.0,6.0,1.0,8.0,14067.0
2018,73,0,1.0,1.0,4.0,14.0,1.0,0.0,0.0,0.0,0.0,1.0,23.0,1.0,5.0,0.0,6.0,0.0,0.0,2.0,3.0,0.0,0.0,2.0,6.0,7.0,0.0,0.0,2.0,0.0,2.0,1.0,9.0,5.0,6.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,6.0,3.0,9.0,14105.0
2018,78,0,1.0,1.0,4.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,4.0,1.0,3.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,4.0,8.0,0.0,0.0,2.0,0.0,2.0,10.0,8.0,5.0,7.0,1.0,4.0,4.0,0.0,0.0,2.0,0.0,8.0,0.0,8.0,16086.0
2018,80,0,1.0,1.0,7.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,2.0,5.0,1.0,6.0,0.0,2.0,1.0,5.0,0.0,0.0,3.0,5.0,8.0,0.0,0.0,2.0,1.0,2.0,1.0,7.0,2.0,9.0,1.0,4.0,2.0,4.0,1.0,2.0,3.0,3.0,1.0,8.0,8038.0
2018,84,0,0.0,1.0,4.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,2.0,5.0,0.0,6.0,0.0,0.0,1.0,3.0,2.0,0.0,1.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,5.0,5.0,1.0,3.0,1.0,3.0,1.0,2.0,0.0,6.0,1.0,8.0,19135.0
2018,85,0,1.0,1.0,3.0,13.0,5.0,0.0,0.0,0.0,0.0,1.0,23.0,2.0,5.0,2.0,6.0,0.0,0.0,1.0,4.0,2.0,0.0,1.0,3.0,7.0,0.0,0.0,2.0,1.0,2.0,2.0,1.0,5.0,7.0,1.0,3.0,3.0,0.0,0.0,0.0,4.0,3.0,3.0,8.0,13084.0
2018,87,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,89,1,1.0,1.0,7.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,3.0,5.0,2.0,6.0,2.0,3.0,2.0,7.0,0.0,0.0,2.0,2.0,7.0,0.0,0.0,1.0,1.0,0.0,10.0,1.0,4.0,5.0,1.0,2.0,1.0,1.0,1.0,2.0,0.0,8.0,1.0,8.0,8074.0
2018,96,0,1.0,1.0,7.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,2.0,5.0,0.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,1.0,7.0,0.0,0.0,1.0,0.0,0.0,10.0,4.0,5.0,5.0,2.0,2.0,2.0,1.0,1.0,2.0,4.0,2.0,2.0,8.0,2177.0
2018,98,0,1.0,1.0,7.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,1.0,5.0,0.0,6.0,2.0,0.0,1.0,1.0,1.0,0.0,2.0,5.0,7.0,0.0,0.0,1.0,0.0,2.0,10.0,6.0,2.0,4.0,2.0,2.0,1.0,1.0,1.0,2.0,4.0,1.0,0.0,8.0,18111.0
2018,100,0,1.0,2.0,4.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,1.0,5.0,0.0,8.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,3.0,7.0,0.0,0.0,3.0,0.0,9.0,1.0,7.0,2.0,12.0,1.0,4.0,2.0,5.0,2.0,2.0,4.0,9.0,1.0,8.0,14195.0
2018,102,0,1.0,1.0,3.0,14.0,1.0,0.0,0.0,0.0,0.0,1.0,23.0,2.0,5.0,5.0,4.0,0.0,2.0,1.0,1.0,0.0,0.0,2.0,0.0,6.0,0.0,0.0,5.0,1.0,4.0,2.0,8.0,4.0,7.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,8.0,2.0,8.0,14077.0
2018,107,0,1.0,1.0,4.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,4.0,5.0,5.0,2.0,0.0,0.0,2.0,3.0,1.0,0.0,1.0,1.0,7.0,0.0,0.0,3.0,0.0,2.0,10.0,4.0,5.0,8.0,1.0,4.0,3.0,1.0,1.0,2.0,4.0,8.0,1.0,8.0,9044.0
2018,109,0,0.0,2.0,7.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,2.0,5.0,10.0,6.0,2.0,0.0,1.0,100.0,1.0,0.0,1.0,1.0,7.0,0.0,0.0,1.0,0.0,0.0,5.0,1.0,5.0,5.0,2.0,2.0,1.0,2.0,1.0,2.0,0.0,9.0,1.0,11.0,14105.0
2018,112,0,1.0,1.0,2.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,23.0,3.0,5.0,0.0,6.0,2.0,1.0,1.0,7.0,0.0,1.0,1.0,4.0,7.0,0.0,0.0,7.0,1.0,3.0,4.0,1.0,4.0,11.0,1.0,6.0,6.0,1.0,1.0,2.0,5.0,3.0,2.0,8.0,8142.0
2018,113,0,1.0,2.0,4.0,20.0,4.0,0.0,0.0,0.0,0.0,0.0,23.0,3.0,5.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,8.0,0.0,0.0,5.0,1.0,10.0,1.0,8.0,4.0,8.0,2.0,2.0,1.0,3.0,1.0,2.0,3.0,9.0,0.0,8.0,20134.0
2018,118,0,0.0,2.0,3.0,20.0,4.0,0.0,0.0,0.0,0.0,0.0,23.0,1.0,5.0,6.0,6.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,6.0,8.0,0.0,0.0,3.0,0.0,5.0,2.0,7.0,2.0,10.0,1.0,4.0,3.0,4.0,2.0,2.0,5.0,9.0,2.0,6.0,20089.0
2018,120,0,1.0,1.0,4.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,3.0,5.0,1.0,6.0,0.0,0.0,2.0,5.0,1.0,0.0,2.0,3.0,7.0,0.0,0.0,2.0,0.0,1.0,1.0,8.0,5.0,8.0,1.0,4.0,1.0,6.0,2.0,0.0,0.0,3.0,1.0,8.0,16001.0
2018,121,0,0.0,1.0,7.0,14.0,1.0,1.0,0.0,0.0,0.0,0.0,22.0,1.0,5.0,8.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,5.0,11.0,0.0,0.0,2.0,0.0,3.0,10.0,7.0,2.0,7.0,1.0,3.0,2.0,3.0,1.0,2.0,0.0,7.0,1.0,8.0,14021.0
2018,128,0,0.0,2.0,4.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,3.0,5.0,3.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,3.0,6.0,0.0,1.0,3.0,0.0,2.0,1.0,3.0,3.0,7.0,1.0,2.0,1.0,3.0,3.0,2.0,1.0,9.0,2.0,8.0,20123.0
2018,133,0,0.0,1.0,7.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,2.0,5.0,1.0,6.0,2.0,15.0,1.0,8.0,0.0,0.0,1.0,2.0,6.0,0.0,0.0,1.0,2.0,0.0,10.0,6.0,5.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0,5.0,0.0,8.0,20127.0
2018,135,0,1.0,1.0,3.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,3.0,1.0,6.0,2.0,0.0,0.0,1.0,3.0,1.0,0.0,2.0,2.0,5.0,0.0,0.0,2.0,1.0,2.0,2.0,5.0,5.0,8.0,1.0,4.0,4.0,0.0,1.0,2.0,0.0,6.0,2.0,8.0,9132.0
2018,137,0,0.0,1.0,7.0,18.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,5.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,10.0,2.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,4.0,6.0,0.0,8.0,18111.0
2018,138,0,1.0,1.0,2.0,14.0,1.0,0.0,0.0,0.0,1.0,0.0,23.0,3.0,5.0,0.0,11.0,0.0,1.0,1.0,4.0,0.0,0.0,2.0,2.0,7.0,0.0,0.0,1.0,1.0,1.0,7.0,9.0,5.0,10.0,1.0,5.0,3.0,3.0,1.0,0.0,4.0,3.0,2.0,9.0,14067.0
2018,140,0,0.0,2.0,4.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,3.0,5.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,7.0,0.0,0.0,1.0,0.0,0.0,10.0,4.0,5.0,8.0,1.0,5.0,5.0,1.0,1.0,0.0,0.0,9.0,1.0,8.0,19036.0
2018,143,1,1.0,1.0,3.0,20.0,4.0,0.0,0.0,0.0,0.0,1.0,23.0,3.0,5.0,2.0,6.0,0.0,0.0,1.0,9.0,2.0,0.0,1.0,7.0,6.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,4.0,6.0,2.0,2.0,2.0,0.0,0.0,0.0,3.0,5.0,1.0,8.0,20071.0
2018,145,0,0.0,1.0,3.0,20.0,6.0,0.0,0.0,0.0,0.0,0.0,22.0,3.0,1.0,1.0,6.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,8.0,10.0,0.0,0.0,1.0,1.0,7.0,2.0,9.0,5.0,6.0,2.0,3.0,2.0,3.0,2.0,2.0,4.0,6.0,0.0,8.0,20130.0
2018,146,0,0.0,1.0,4.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,1.0,5.0,0.0,6.0,0.0,0.0,1.0,3.0,0.0,0.0,3.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,8.0,1.0,4.0,4.0,0.0,0.0,2.0,0.0,8.0,1.0,8.0,8157.0
2018,147,1,1.0,1.0,4.0,19.0,1.0,0.0,0.0,0.0,1.0,0.0,23.0,1.0,5.0,0.0,6.0,0.0,0.0,1.0,10.0,1.0,0.0,1.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,5.0,6.0,2.0,3.0,1.0,3.0,1.0,2.0,3.0,5.0,0.0,8.0,19166.0
2018,150,0,1.0,1.0,2.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,2.0,5.0,0.0,6.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,6.0,8.0,0.0,1.0,1.0,0.0,0.0,7.0,3.0,2.0,10.0,1.0,5.0,3.0,3.0,1.0,2.0,4.0,1.0,2.0,8.0,18111.0
2018,153,0,0.0,2.0,7.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,1.0,5.0,0.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,6.0,10.0,0.0,0.0,1.0,0.0,2.0,10.0,7.0,2.0,6.0,2.0,3.0,2.0,2.0,1.0,2.0,0.0,9.0,1.0,10.0,19036.0
2018,155,1,1.0,1.0,4.0,9.0,1.0,0.0,0.0,0.0,0.0,1.0,23.0,1.0,5.0,0.0,2.0,0.0,0.0,1.0,10.0,1.0,0.0,2.0,6.0,6.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,3.0,5.0,2.0,2.0,2.0,0.0,0.0,0.0,4.0,6.0,0.0,8.0,9044.0
2018,158,0,1.0,1.0,2.0,20.0,3.0,0.0,0.0,0.0,0.0,0.0,23.0,4.0,1.0,0.0,6.0,0.0,0.0,0.0,8.0,1.0,0.0,2.0,4.0,6.0,0.0,0.0,4.0,1.0,2.0,3.0,1.0,4.0,7.0,1.0,3.0,2.0,2.0,1.0,0.0,3.0,5.0,2.0,8.0,20089.0
2018,159,0,1.0,2.0,3.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,20.0,1.0,5.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,11.0,2.0,2.0,2.0,0.0,2.0,6.0,5.0,2.0,11.0,2.0,5.0,3.0,3.0,1.0,2.0,1.0,9.0,0.0,6.0,12083.0
2018,160,0,1.0,1.0,4.0,19.0,1.0,0.0,0.0,0.0,0.0,1.0,22.0,1.0,5.0,0.0,6.0,0.0,0.0,4.0,0.0,0.0,1.0,1.0,4.0,6.0,0.0,0.0,1.0,0.0,0.0,10.0,4.0,2.0,3.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,7.0,2.0,8.0,19035.0
2018,162,0,0.0,1.0,4.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,1.0,5.0,1.0,11.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,8.0,0.0,0.0,1.0,0.0,4.0,10.0,8.0,5.0,5.0,2.0,3.0,2.0,2.0,1.0,2.0,4.0,2.0,0.0,10.0,14048.0
2018,163,0,1.0,1.0,3.0,14.0,1.0,0.0,0.0,0.0,0.0,1.0,24.0,1.0,1.0,0.0,6.0,0.0,0.0,1.0,4.0,1.0,0.0,1.0,0.0,4.0,0.0,0.0,2.0,0.0,3.0,2.0,7.0,5.0,8.0,1.0,3.0,3.0,0.0,0.0,0.0,4.0,3.0,3.0,8.0,14057.0
2018,165,0,0.0,1.0,3.0,12.0,6.0,1.0,0.0,1.0,0.0,0.0,22.0,5.0,5.0,1.0,6.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,6.0,11.0,0.0,0.0,3.0,1.0,1.0,2.0,1.0,4.0,7.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,9.0,0.0,8.0,12115.0
2018,169,0,1.0,1.0,7.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,1.0,5.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,10.0,6.0,2.0,10.0,1.0,5.0,4.0,2.0,1.0,2.0,0.0,8.0,1.0,8.0,2128.0
2018,170,0,1.0,1.0,4.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,1.0,5.0,1.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,4.0,7.0,0.0,0.0,5.0,0.0,14.0,1.0,5.0,2.0,6.0,1.0,2.0,2.0,1.0,1.0,0.0,4.0,7.0,1.0,10.0,14048.0
2018,171,0,1.0,1.0,4.0,2.0,4.0,0.0,0.0,0.0,0.0,1.0,23.0,3.0,5.0,1.0,6.0,3.0,0.0,1.0,4.0,0.0,0.0,2.0,2.0,5.0,0.0,0.0,5.0,1.0,3.0,1.0,1.0,5.0,6.0,1.0,3.0,3.0,0.0,0.0,2.0,0.0,6.0,2.0,8.0,2029.0
2018,177,0,1.0,1.0,4.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,3.0,5.0,1.0,5.0,0.0,0.0,1.0,4.0,1.0,1.0,1.0,5.0,6.0,0.0,0.0,3.0,0.0,2.0,10.0,10.0,5.0,4.0,1.0,2.0,2.0,1.0,1.0,2.0,4.0,2.0,1.0,11.0,16178.0
2018,179,0,0.0,1.0,7.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,3.0,5.0,2.0,2.0,1.0,0.0,3.0,1.0,1.0,0.0,1.0,1.0,8.0,0.0,0.0,2.0,0.0,2.0,5.0,8.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,4.0,8.0,1.0,8.0,9044.0
2018,186,0,1.0,1.0,4.0,8.0,1.0,0.0,0.0,0.0,0.0,1.0,23.0,3.0,1.0,1.0,6.0,3.0,0.0,1.0,7.0,0.0,0.0,3.0,2.0,5.0,0.0,0.0,2.0,0.0,1.0,1.0,7.0,4.0,8.0,1.0,4.0,4.0,0.0,0.0,2.0,3.0,8.0,2.0,12.0,8157.0
